Symptom,Description
Sneezing,"Sneezing is your body’s way of removing irritants from your nose or throat. A sneeze is a powerful, involuntary expulsion of air. Sneezing often happens suddenly and without warning. Another name for sneezing is sternutation. While this symptom can be quite annoying, it’s not usually the result of any serious health problem."
Stuffy Nose,"A stuffy or congested nose occurs when the tissues lining it become swollen. The swelling is due to inflamed blood vessels. The problem may also include nasal discharge or ""runny nose."" If excess mucus runs down the back of your throat (postnasal drip), it may cause a cough or sore throat."
Sore Throat,"A sore throat is pain, scratchiness or irritation of the throat that often worsens when you swallow. The most common cause of a sore throat (pharyngitis) is a viral infection, such as a cold or the flu. A sore throat caused by a virus resolves on its own."
Cough,"A cough is a reflex action to clear your airways of mucus and irritants such as dust or smoke. It's rarely a sign of anything serious. A ""dry cough"" means it's tickly and doesn't produce any phlegm (thick mucus). A ""chesty cough"" means phlegm is produced to help clear your airways"
Phelgm,"Phlegm is a type of mucus produced in the lungs and lower respiratory tract. It is most noticeable when a person is acutely sick or has a longstanding health condition. Mucus forms a protective lining in certain parts of the body, even when a person is well."
Body Pain,"Body aches are a common symptom of many conditions. The flu is one of the most well-known conditions that can cause body aches. Aches can also be caused by your everyday life, especially if you stand, walk, or exercise for long periods of time"
Fatigue,"Fatigue is a term used to describe an overall feeling of tiredness or lack of energy. It isn't the same as simply feeling drowsy or sleepy. When you're fatigued, you have no motivation and no energy."
Headache,Headache is defined as a pain arising from the head or upper neck of the body. The pain originates from the tissues and structures that surround the skull or the brain because the brain itself has no nerves that give rise to the sensation of pain (pain fibers).
Chills,"Chills are feelings of coldness accompanied by shivering. They may arise with or without fever. Without fever, chills typically arise after exposure to a cold environment. Essentially any condition that may produce fever (including infections and cancers) can result in chills along with fever."
Fever,"A fever is a temporary increase in your body temperature, often due to an illness. Having a fever is a sign that something out of the ordinary is going on in your body. For an adult, a fever may be uncomfortable, but usually isn't a cause for concern unless it reaches 103 F (39.4 C) or higher."
Sweating,"Sweating is a bodily function that helps regulate your body temperature. Also called perspiration, sweating is the release of a salt-based fluid from your sweat glands."
Loss of Appetite,"Loss of appetite means you don't have the same desire to eat as you used to. Signs of decreased appetite include not wanting to eat, unintentional weight loss, and not feeling hungry. The idea of eating food may make you feel nauseous, as if you might vomit after eating."
Nosebleed,"The nose contains many blood vessels, which are located close to the surface in the front and back of the nose. They’re very fragile and bleed easily. Nosebleeds are common in adults and children between the ages of 3 and 10."
Confusion,"Confusion is a symptom that makes you feel as if you can’t think clearly. You might feel disoriented and have a hard time focusing or making decisions. Confusion is also referred to as disorientation. In its extreme state, it’s referred to as delirium."
Loss of Smell,A change in your sense of smell can be unpleasant and affect how things taste. But it isn't usually serious and may get better in a few weeks or months.
Loss of Taste,"Impaired taste means that your sense of taste is not functioning properly. Impaired taste can refer to the absence of taste. It can also refer to an altered sense, such as a metallic taste in the mouth."
Irregular Periods,"During a normal menstrual cycle, an egg is released from one of your ovaries during ovulation. If the egg is not fertilized by a sperm, then changing hormone levels signal for your body to shed the blood and tissues that line your uterus. This bleeding typically lasts about five days. Then, the monthly cycle repeats itself. But some women have what is called abnormal uterine bleeding—another term for irregular periods."
Excessive Hair Growth,"Excessive hair growth, called hirsutism, can cause enormous embarrassment to young girls. Hirsutism is most often caused by an excess of male hormones, called androgens. Hair often grows in more typical male hair growth patterns in hirsutism, with facial hair and body hair in atypical female patterns."
Chest Pain,"Angina is chest pain or discomfort caused when your heart muscle doesn't get enough oxygen-rich blood. It may feel like pressure or squeezing in your chest. The discomfort also can occur in your shoulders, arms, neck, jaw, or back."
Weight Gain,"Weight gain is an increase in body weight. This can involve an increase in muscle mass, fat deposits, excess fluids such as water or other factors. Weight gain can be a symptom of a serious medical condition."
Chest Discomfort,"Chest pain is defined as the presence of abnormal pain or discomfort in the chest, between the diaphragm and the base of the neck."
Shortness of Breath,"Shortness of breath — known medically as dyspnea — is often described as an intense tightening in the chest, air hunger, difficulty breathing, breathlessness or a feeling of suffocation."
Hoarseness,"If you are hoarse, your voice will sound breathy, raspy, or strained, or will be softer in volume or lower in pitch. Your throat might feel scratchy. Hoarseness is often a symptom of problems in the vocal folds of the larynx."
Puffy Face,"If a part of someone's body, especially their face, is puffy, it has a round, swollen appearance."
Constipation,Chronic constipation is infrequent bowel movements or difficult passage of stools that persists for several weeks or longer. Constipation is generally described as having fewer than three bowel movements a week.
Muscle Weakness,Muscle weakness happens when your full effort doesn't produce a normal muscle contraction or movement. It's sometimes called: reduced muscle strength. muscular weakness.
Increase Sensativity to Cold,"Cold intolerance is when you're extremely sensitive to cold temperatures. Cold intolerance is more severe than the normal feeling of chilliness when you're outdoors on a cool day. Some people are prone to feeling cold, especially those who have chronic health problems or little body fat."
Nausea,"a feeling of sickness in the stomach, especially when accompanied by a loathing for food and an involuntary impulse to vomit."
Vomiting,"Vomiting, or throwing up, is a forceful discharge of stomach contents. It can be a one-time event linked to something that doesn't settle right in the stomach. Recurrent vomiting may be caused by underlying medical conditions."
Diarrhea,"Diarrhea is loose, watery stools (bowel movements). You have diarrhea if you have loose stools three or more times in one day. Acute diarrhea is diarrhea that lasts a short time"
Low Body Temperature,"Hypothermia is a medical emergency that occurs when your body loses heat faster than it can produce heat, causing a dangerously low body temperature. Normal body temperature is around 98.6 F (37 C). Hypothermia (hi-poe-THUR-me-uh) occurs as your body temperature falls below 95 F (35 C)."
Wheezing,Wheezing is a high-pitched whistling sound made while breathing. It's often associated with difficulty breathing. Wheezing may occur during breathing out (expiration) or breathing in (inspiration)
Cold,"at a low or relatively low temperature, especially when compared with the human body."
Trouble Sleeping,"Difficulty falling asleep, or staying asleep as long as desired. Insomnia is typically followed by daytime sleepiness, low energy, irritability, and a depressed mood."
Allergy,"a damaging immune response by the body to a substance, especially a particular food, pollen, fur, or dust, to which it has become hypersensitive."
Swelling,"A swelling is a raised, curved shape on the surface of your body which appears as a result of an injury or an illness. 
an abnormal enlargement of a part of the body, typically as a result of an accumulation of fluid."
Muscle Ache,"In medicine, myalgia, also known as muscle pain or muscle ache, is a symptom that presents with a large array of diseases. While the most common cause is the overuse of a muscle or group of muscles, acute myalgia may also be due to viral infections, especially in the absence of a traumatic history."
Rash,"An area of redness and spots on a person's skin, appearing especially as a result of allergy or illness."
Red Spots,"An area of redness and spots on a person's skin, appearing especially as a result of allergy or illness."
Itchy,"If a part of your body or something you are wearing is itchy, you have an unpleasant feeling on your skin that makes you want to scratch."
Eye Pain,"Eye pain is also known as ophthalmalgia. Depending on where you experience the discomfort, eye pain can fall into one of two categories: Ocular pain occurs on the eye's surface, and orbital pain occurs within the eye. Eye pain that occurs on the surface may be a scratching, burning, or itching sensation."
Fluid accumulation,The medical definition of ascites is an abnormal accumulation of fluid within the (peritoneal) cavity
Vision Problems,"a decreased ability to see to a degree that causes problems not fixable by usual means, such as glasses. Some also include those who have a decreased ability to see because they do not have access to glasses or contact lenses."
Weakness,"the state or quality of being weak; lack of strength, firmness, vigor, or the like; feebleness. an inadequate or defective quality, as in a person's character; slight fault or defect: to show great sympathy for human weaknesses."
Unexplained Bleeding,
Unexplained Bruising,
Increase of Sweating,"Diaphoresis is the medical term used to describe excessive, abnormal sweating in relation to your environment and activity level. It tends to affect your entire body rather than a part of your body. This condition is also sometimes called secondary hyperhidrosis."
Itchy Eyes,"An irritating substance (called an allergen) — such as pollen, dust and animal dander — causes the release of compounds called histamines in the tissues around the eyes, which results in itching, redness and swelling. Rubbing won't help your itchy eyes."
Itchy Nose,"Many people have allergies to both indoor and outdoor substances, such as pet dander, pollen, and dust mites. Allergies can be seasonal or last all year long. They can cause an irritating inflammation in your nose that may give you a tickly, itchy feeling."
Itchy Mouth,"An itchy mouth is a common, though sometimes alarming, symptom that many people experience. Itchy mouth can be caused by viral or fungal infections, as well as allergies to food, pollen, latex, medications, and more. If it's caused by allergies, itchy mouth is often referred to as oral allergy syndrome"
Itchy Throat,"An itchy throat is a classic sign of allergies, allergic reaction, or early illness. Inhaled irritants can aggravate your throat, causing it to feel scratchy and uncomfortable."
Running Nose,"A runny nose is excess nasal drainage. It may be a thin clear fluid, thick mucus or something in between. The drainage may run out of your nose, down the back of your throat or both. The terms ""rhinorrhea"" and ""rhinitis"" are often used to refer to a runny nose."
Unresponsive,Unresponsive means not reacting or responding to communication or something that usually calls for a reaction or a reply.
Unfocused,"If someone can't or won't respond, we call them unresponsive. Depending on the context, a person's unresponsiveness can be just a bummer or a life-threatening condition. Medically speaking, when a person is called unresponsive, it means they're at least unconscious, and possibly dead or dying"
Irritable,"irritable, testy, touchy, irascible are adjectives meaning easily upset, offended, or angered. Irritable means easily annoyed or bothered, and it implies cross and snappish behavior"
Dandruff,Dandruff is a skin condition that mainly affects the scalp. Symptoms include flaking and sometimes mild itchiness.
Night Sweats,"Night sweats are repeated episodes of extreme perspiration that may soak your nightclothes or bedding and are related to an underlying medical condition or illness. You may occasionally awaken after having perspired excessively, particularly if you are sleeping under too many blankets or if your bedroom is too warm."
Mouth Ulcers,"Mouth ulcers — also known as canker sores — are normally small, painful lesions that develop in your mouth or at the base of your gums. They can make eating, drinking, and talking uncomfortable."
Impulsiveness,"characterized by actions based on sudden desires, whims, or inclinations rather than careful thoughtan impulsive man. based on emotional impulses or whims; spontaneousan impulsive kiss. forceful, inciting, or impelling."
